Location,Rate (WB),Year,Rate (ITU),Year.1,Users (CIA),Year.2,Notes
Estonia,93.2,2023,93.2,2023,1183000,2021,
Eswatini,58.3,2022,58.3,2022,708000,2021,
Ethiopia,19.4,2022,19.4,2022,20400000,2021,
Falkland Islands,,,99,2016,3762,2021,
Faroe Islands,97.6,2017,97.6,2017,51728,2021,
Fiji,85.2,2022,85.2,2022,809600,2021,
Finland,93.5,2023,93.5,2023,5115000,2021,
France,86.8,2023,86.8,2023,55900000,2021,
French Guiana,,,25.7,2009,,,
French Polynesia,72.7,2017,72.7,2017,218100,2021,
Gabon,73.7,2022,73.7,2022,1656000,2021,
Gambia,54.2,2022,54.2,2022,858000,2021,
Georgia,81.9,2023,81.9,2023,2888000,2021,
Germany,92.5,2023,92.5,2023,75530000,2021,
Ghana,69.8,2022,69.8,2022,22440000,2021,
Gibraltar,94.4,2016,94.4,2016,31152,2021,
Greece,85,2023,85,2023,7800000,2021,
Greenland,69.5,2017,69.5,2017,38920,2021,
Grenada,79.9,2022,79.9,2022,93600,2021,
Guadeloupe,,,23.4,2009,,,
Guam,80.5,2017,80.5,2017,136850,2021,
Guatemala,54.4,2022,54.4,2022,9180000,2021,
Guernsey,,,83.6,2011,55069,2021,
Guinea,33.9,2022,33.9,2022,4900000,2021,
Guinea-Bissau,31.6,2022,31.6,2022,735000,2021,
Guyana,85.3,2022,85.3,2022,680000,2021,
Haiti,39.3,2019,39.3,2019,4290000,2021,
Honduras,59.7,2022,59.7,2022,4800000,2021,
Hong Kong,95.6,2022,95.6,2022,6975000,2021,
Hungary,91.5,2023,91.5,2023,8633000,2021,
Iceland,99.9,2022,99.9,2022,370000,2021,
India,43.4,2020,43.4,2020,644000000,2021,
Indonesia,69.2,2023,69.2,2023,167400000,2021,
Iran,81.7,2022,81.7,2022,69520000,2021,
Iraq,78.7,2022,78.7,2022,21560000,2021,
Ireland,95.6,2022,95.6,2022,4750000,2021,
Israel,91.9,2022,91.9,2022,8010000,2021,
Italy,87,2023,87,2023,44250000,2021,
Ivory Coast,43.8,2017,38.4,2022,12150000,2021,
Jamaica,85.1,2022,85.1,2022,2296000,2021,
Japan,93.2,2016,84.9,2022,99600000,2021,
Jersey,,,41,2012,96038,2021,
Jordan,90.5,2022,90.5,2022,9130000,2021,
Kazakhstan,92.9,2023,92.9,2023,17290000,2021,
Kenya,40.8,2022,40.8,2022,15370000,2021,
Kiribati,54.4,2022,54.4,2022,70200,2021,
Kosovo,89.4,2018,89.4,2018,1756300,2021,
Kuwait,99.8,2022,99.7,2023,4300000,2021,
Kyrgyzstan,79.8,2022,79.8,2022,5070000,2021,
Laos,66.2,2022,66.2,2022,4588000,2021,
Latvia,92.2,2023,92.2,2023,1729000,2021,
Lebanon,90.1,2022,90.1,2022,4872000,2021,
Lesotho,47,2022,47,2022,1104000,2021,
Liberia,30.1,2022,30.1,2022,1768000,2021,
Libya,88.4,2022,88.4,2022,3095400,2021,
Liechtenstein,99.6,2017,96.8,2022,37440,2021,
Lithuania,88.5,2023,88.5,2023,2436000,2021,
Luxembourg,99.4,2023,99.3,2023,633600,2021,
Macao,89.8,2022,89.8,2022,607200,2021,
Madagascar,20.6,2022,20.6,2022,5800000,2021,
Malawi,27.7,2022,18,2023,4800000,2021,
Malaysia,97.7,2023,97.7,2023,32980000,2021,
Maldives,85.2,2021,83.9,2022,447200,2021,
Mali,33.1,2022,33.1,2022,7480000,2021,
Malta,91.9,2023,91.9,2023,461100,2021,
Marshall Islands,73.2,2022,73.2,2022,16254,2021,
Martinique,,,42,2009,,,
Mauritania,44.4,2022,44.4,2022,2714000,2021,
Mauritius,75.5,2022,75.5,2022,884000,2021,
Mayotte,,,1.2,2000,,,
Mexico,81.2,2023,81.2,2023,98800000,2021,
Micronesia,40.5,2022,40.5,2022,44000,2021,
Moldova,71,2016,63.5,2022,1891000,2021,
Monaco,98.6,2020,98.4,2022,31820,2021,
Mongolia,83.9,2022,83.9,2022,2772000,2021,
Montenegro,88.2,2022,88.2,2022,516600,2021,
Montserrat,,,54.6,2011,2473,2021,
Morocco,89.9,2022,89.9,2022,32560000,2021,
Mozambique,21.2,2022,21.2,2022,5440000,2021,
Myanmar,48.1,2019,48.1,2019,23760000,2021,
Namibia,62.2,2022,62.2,2022,1325000,2021,
Nauru,83.3,2021,82.7,2022,10920,2021,
Nepal,49.6,2022,49.6,2022,15600000,2021,
Netherlands,97,2023,97,2023,16560000,2021,
New Caledonia,82,2017,82,2017,237800,2021,
New Zealand,95.7,2021,95.7,2022,4896000,2021,
Nicaragua,61.1,2022,61.1,2022,3933000,2021,
Niger,16.9,2022,16.9,2022,5500000,2021,
Nigeria,35.5,2022,35.5,2022,115500000,2021,
Niue,,,79.6,2011,1512,2021,
Norfolk Island,,,,,806,2021,
North Macedonia,84.2,2022,84.2,2022,1743000,2021,
Northern Mariana Islands,,,,,12299,2021,
Norway,99,2021,99,2023,5346000,2021,
Oman,97.9,2022,95.3,2023,4320000,2021,
Pakistan,33,2022,32.9,2022,48300000,2021,
Palau,,,27,2004,6696,2021,
Palestine,88.7,2022,86.6,2023,7540651,,[a]
Panama,73.6,2022,73.6,2022,2992000,2021,
Papua New Guinea,27,2022,27,2022,3168000,2021,
Paraguay,78.1,2023,78.1,2023,5159000,2021,
Peru,74.7,2022,74.7,2022,24140000,2021,
Philippines,75.2,2022,75.2,2022,58300000,2021,
Pitcairn Islands,,,,,37,2021,
Poland,86.9,2022,86.4,2023,32300000,2021,
Portugal,85.8,2023,85.8,2023,8200000,2021,
Puerto Rico,87.3,2022,87.3,2022,2564100,2021,
Qatar,100,2021,100,2022,2700000,2021,
Republic of the Congo,36.3,2022,36.2,2022,1794390,2021,
Réunion,,,36.3,2009,,,
Romania,89.2,2023,89.2,2023,15960000,2021,
Russia,92.3,2023,92.2,2023,132000000,2021,
Rwanda,34.4,2022,34.4,2022,3900000,2021,
Saint Barthelemy,,,,,7077,2022,
"Saint Helena, Ascension, and Tristan da Cunha",,,40.5,2012,2287,2021,[b]
Saint Kitts and Nevis,76.5,2022,76.5,2022,37920,2021,
Saint Lucia,75.8,2020,74.2,2022,140400,2021,
Saint Martin,,,,,19284,2022,
Saint Pierre and Miquelon,,,,,5099,2022,
Saint Vincent and the Grenadines,78.7,2021,77.7,2022,85000,2021,
Samoa,76.3,2021,75.3,2022,171600,2021,
San Marino,85.1,2022,85.1,2022,25500,2021,
Sao Tome and Principe,57,2022,57,2022,112200,2021,
Saudi Arabia,100,2021,100,2023,36000000,2021,
Senegal,60,2022,60,2022,9860000,2021,
Serbia,85.4,2023,85.4,2023,5589000,2021,
Seychelles,86.7,2022,86.7,2022,90200,2021,
Sierra Leone,30.4,2022,30.4,2022,1047499,2022,
Singapore,96.9,2021,94.3,2023,5369000,2021,
Sint Maarten,,,,,39089,2022,
Slovakia,89.9,2020,87.2,2023,4806000,2021,
Slovenia,90.4,2023,90.4,2023,1869000,2021,
Solomon Islands,47.3,2021,45,2022,255600,2021,
Somalia,27.6,2022,27.6,2022,2465000,2021,
South Africa,74.7,2022,74.7,2022,42480000,2021,
South Korea,97.6,2021,97.4,2023,50960000,2021,
South Sudan,12.1,2022,12.1,2022,869000,2021,
Spain,95.5,2023,95.4,2023,44180000,2021,
Sri Lanka,50.1,2022,50.1,2022,14740000,2021,
Sudan,28.7,2022,28.7,2022,13248000,2021,
Suriname,75.8,2022,75.8,2022,402600,2021,
Sweden,95.7,2023,95.7,2023,8800000,2021,
Switzerland,97.3,2023,97.3,2023,8352000,2021,
Syria,35.8,2020,34.7,2019,8492468,2022,
Taiwan,,,93.1,2023,21600000,2021,
Tajikistan,36.1,2022,36.1,2022,3009054,2022,
Tanzania,31.9,2022,31.9,2022,20480000,2021,
Thailand,89.5,2023,89.5,2023,61200000,2021,
Togo,37.6,2022,37.6,2022,3010000,2021,
Tokelau,,,1.5,2003,800,2021,
Tonga,66.7,2020,57.5,2021,73700,2021,
Trinidad and Tobago,80,2022,80,2022,1185000,2021,
Tunisia,73.8,2022,73.8,2022,9480000,2021,
Turkey,86,2023,86,2023,68850000,2021,
Turkmenistan,21.3,2017,21.3,2017,1563023,2022,
Turks and Caicos Islands,,,,,37008,2022,
Tuvalu,82.3,2021,81.2,2022,7920,2021,
Uganda,10,2021,10,2021,4600000,2021,
Ukraine,79.2,2021,79.2,2021,34596356,2021,
United Arab Emirates,100,2020,100,2023,9400000,2021,
United Kingdom,95.3,2022,95.3,2022,64990000,2021,
United States,97.1,2022,97.1,2022,312800000,2021,
Uruguay,89.9,2022,89.9,2022,3060000,2021,
US Virgin Islands,64.4,2017,64.4,2017,67508,2022,
Uzbekistan,89,2023,89,2023,26180000,2021,
Vanuatu,69.9,2022,69.9,2022,211200,2021,
Vatican City,,,85.1,2022,383,2021,
Venezuela,61.6,2017,61.6,2017,22734162,2022,
Vietnam,78.6,2022,78.1,2023,71780000,2021,
Wallis and Futuna,,,9,2012,5496,2021,
Yemen,26.7,2017,17.7,2022,8229624,2022,
Zambia,31.2,2022,31.2,2022,3990000,2021,
Zimbabwe,32.6,2022,32.6,2022,5600000,2021,
